timings, timings_total, nb_constraints, nb_specific_1, nb_specific_2, nb_specific_3, nb_specific_4, x0s[0], x0s[1], x0s[2], x0s[3]
10.681,10.681,200,136,200,200,200,-9.8,1,0.1,-0.1
6.695,6.82721,200,136,200,200,200,-9.76891,0.99688,0.4125,-0.0997498
6.375,6.49449,200,136,200,200,200,-9.64064,0.984043,0.725,-0.09583
6.69,6.83879,200,136,200,200,200,-9.41512,0.962365,1.0375,-0.085488
6.942,7.10731,200,136,200,200,200,-9.09208,0.934682,1.32003,-0.0689667
4.473,4.59022,200,136,200,200,200,-8.68055,0.906255,1.5537,-0.0500005
7.597,7.74327,200,136,200,200,200,-8.19563,0.881988,1.73852,-0.0329242
6.386,6.52322,200,136,200,200,200,-7.65263,0.864104,1.87451,-0.0200151
6.524,6.67672,200,136,200,200,200,-7.06697,0.85238,1.96167,-0.0114532
6.309,6.46774,200,136,200,200,200,-6.45399,0.845359,2,-0.00630015
7.151,7.36485,210,136,200,200,210,-5.829,0.841422,2,-0.00340511
7.334,7.63883,211,136,200,200,211,-5.204,0.839294,2,0.116345
7.107,7.34814,212,136,200,200,212,-4.58323,0.911845,2,0.188021
7.931,8.22772,213,136,200,200,213,-3.96924,1.02867,2,0.23177
7.265,7.53397,214,136,200,200,214,-3.36095,1.17223,2,0.257436
5.703,6.09085,215,136,200,200,215,-2.75655,1.33136,2,0.271416
7.212,7.42033,216,136,200,200,216,-2.15443,1.49892,2,0.278814
7.889,8.12201,216,136,200,200,216,-1.55357,1.67093,2,0.282453
7.109,7.30765,216,136,200,200,216,-0.953331,1.84512,2,0.283733
9.827,10.0975,216,136,200,200,216,-0.353321,2.02008,2,0.283147
7.157,7.46143,216,136,200,200,216,0.246792,2.1947,2,0.280463
10.429,10.6954,216,136,200,200,216,0.847372,2.3677,2,0.274632
4.921,5.16709,216,136,200,200,216,1.44895,2.53719,2,0.263373
7.563,7.79093,215,136,200,200,215,2.0524,2.6999,1.99666,0.242268
5.848,6.12367,214,136,200,200,214,2.65813,2.84959,1.97396,0.204968
5.888,6.09089,213,136,200,200,213,3.26208,2.97515,1.94525,0.150263
7.552,7.80756,212,136,200,200,212,3.86313,3.06615,1.94117,0.0943644
6.203,6.6612,221,136,200,200,221,4.46704,3.12331,1.96591,0.0539156
9.209,9.54474,220,136,200,200,220,5.0805,3.15641,1.99274,0.123045
8.797,9.19386,220,136,200,200,220,5.69852,3.23284,2,0.167562
6.59,6.91859,220,136,200,200,220,6.31476,3.33708,2,0.195268
7.202,7.48481,220,136,200,200,220,6.92789,3.45835,2,0.210968
8.136,8.44424,220,136,200,200,220,7.53903,3.58923,2,0.219417
6.468,6.71713,220,136,200,200,220,8.14904,3.72527,2,0.223805
8.818,9.10167,219,136,200,200,219,8.75846,3.86398,2,0.225813
6.719,7.07546,218,136,200,200,218,9.36759,4.00392,2,0.226214
9.313,9.5416,217,136,200,200,217,9.97667,4.1441,2,0.225159
6.31,6.5664,216,136,200,200,216,10.5859,4.28364,2,0.222236
8.983,9.23413,216,136,200,200,216,11.1955,4.42139,2,0.216303
6.177,6.49025,215,136,200,200,215,11.806,4.55553,2,0.205036
5.725,5.96182,214,136,200,200,214,12.4179,4.68278,1.99396,0.184015
8.518,8.85321,222,136,200,200,222,13.0305,4.7968,1.97101,0.148348
6.372,6.88126,223,136,200,200,223,13.6396,4.88784,1.95214,0.026265
7.845,8.12781,223,136,200,200,223,14.2495,4.90386,1.9518,-0.0690518
6.032,6.37095,223,136,200,200,223,14.858,4.86177,1.97209,-0.135043
7.708,8.41579,223,136,200,200,223,15.4686,4.7788,1.99382,-0.176074
6.118,6.46847,223,136,200,200,223,16.0821,4.66966,2,-0.199065
7.124,7.42005,223,136,200,200,223,16.6947,4.54607,2,-0.211481
7.35,7.81063,223,136,200,200,223,17.3058,4.41487,2,-0.217974
7.111,7.57958,222,136,200,200,222,17.916,4.27972,2,-0.221058
9.333,9.82223,221,136,200,200,221,18.5258,4.14268,2,-0.22193
6.351,6.65588,220,136,200,200,220,19.1355,4.00511,2,-0.220928
7.095,7.50733,219,136,200,200,219,19.7453,3.86815,2,-0.217659
6.34,6.60174,218,136,200,200,218,20.3555,3.73318,2,-0.210846
7.575,7.82985,216,136,200,200,216,20.9667,3.60238,1.99985,-0.197822
5.757,6.0093,214,136,200,200,214,21.5794,3.47955,1.98953,-0.173763
7.529,7.80299,213,136,200,200,213,22.1918,3.37206,1.96494,-0.134752
5.342,5.73356,212,136,200,200,212,22.8003,3.28957,1.95194,-0.0885969
5.073,5.47784,211,136,200,200,211,23.4079,3.2356,1.96608,-0.0514931
7.086,7.2977,210,136,200,200,210,24.0215,3.20397,1.99025,-0.0283677
5.394,5.60504,210,136,196,201,210,24.6432,3.18633,1.9999,-0.0153981
4.736,4.96825,206,136,192,198,206,25.2681,3.17671,2,-0.00832257
6.07,6.31562,202,136,188,195,202,25.893,3.17151,2,-0.00449829
6.086,6.28353,198,136,184,192,198,26.518,3.1687,2,-0.00243133
5.548,5.75902,194,136,180,189,194,27.143,3.16718,2,-0.00131413
8.531,8.81473,190,136,176,186,190,27.768,3.16636,2,-0.000710283
4.771,5.05842,191,136,172,188,191,28.393,3.16591,2,-0.000383898
7.932,8.20004,188,136,168,186,188,29.018,3.16567,2,-0.000207484
5.631,5.91799,185,136,164,184,185,29.643,3.16554,2,0.0295013
7.24,7.5682,182,136,160,182,182,30.2678,3.18398,2,0.0753508
6.094,6.55726,178,136,156,178,178,30.891,3.23103,2,0.110483
5.305,5.52553,175,136,152,175,175,31.5122,3.29994,2,0.130272
6.554,6.80809,171,136,148,171,171,32.1319,3.38113,2,0.140996
5.952,6.15402,167,136,144,167,167,32.7507,3.46896,2,0.146774
7.803,8.08171,167,136,140,167,167,33.369,3.56036,2,0.149842
6.047,6.48682,164,136,136,164,164,33.9869,3.65367,2,0.151392
6.1,6.36488,165,136,136,165,165,34.6048,3.74793,2,0.152025
6.866,7.19591,169,136,136,169,169,35.2226,3.84258,2,0.151987
5.308,5.59982,170,136,136,170,170,35.8404,3.9372,2,0.151264
8.914,9.24011,176,136,136,176,176,36.4583,4.03138,2,0.149573
6.422,6.75605,177,136,136,177,177,37.0763,4.12452,2,0.146262
5.926,6.33161,178,136,136,178,178,37.6946,4.21561,2,0.140047
7.336,7.86645,184,136,136,184,184,38.3135,4.30285,2,0.128515
5.911,6.49028,186,136,136,186,186,38.9333,4.38295,2,0.107176
7.755,8.2072,188,136,136,188,188,39.5547,4.44981,2,0.0676188
4.949,5.46365,196,136,136,196,196,40.1783,4.49204,2,0.0364992
7.343,7.87686,204,136,136,204,204,40.8029,4.51484,2,0.0197203
6.429,7.16938,207,136,136,207,207,41.4278,4.52717,2,0.0106577
6.629,7.08814,209,136,136,209,209,42.0527,4.53383,2,0.00576037
7.768,8.64283,211,136,136,211,211,42.6777,4.53743,2,0.00311349
6.075,6.65644,212,136,136,212,212,43.3027,4.53937,2,0.00168285
6.653,7.36353,211,136,136,211,211,43.9277,4.54043,2,-0.0134334
5.681,6.12977,208,136,136,208,208,44.5527,4.53203,2,-0.0374567
7.886,8.94598,208,136,136,208,208,45.1772,4.50863,2,-0.0593281
6.812,7.28826,205,136,136,205,205,45.8011,4.47157,2,-0.0742306
10.538,11.2149,202,136,136,202,202,46.4244,4.42522,2,-0.0828838
6.148,6.88744,199,136,136,199,199,47.0473,4.37347,2,-0.0876939
7.47,7.90447,195,136,136,195,195,47.6699,4.31873,2,-0.0902746
6.414,6.79029,191,136,136,191,191,48.2923,4.26239,2,-0.0916303
6.207,6.58897,186,136,136,186,186,48.9147,4.2052,2,-0.0922888
7.073,7.74681,181,136,136,181,181,49.537,4.1476,2,-0.0925065
6.914,7.28485,176,136,136,176,176,50.1594,4.08987,2,-0.0923683
