timings, timings_total, nb_constraints, x0s[0], x0s[1], x0s[2], x0s[3]
51.1133,51.1133,376,-9.8,1,0.1,-0.1
12.2623,12.3582,376,-9.76891,0.99688,0.4125,-0.0997498
18.9465,19.0469,376,-9.64064,0.984043,0.725,-0.09583
19.9699,20.1082,376,-9.41512,0.962365,1.0375,-0.085488
17.0004,17.0943,376,-9.09208,0.934682,1.32003,-0.0689666
20.823,20.9443,376,-8.68055,0.906255,1.5537,-0.0500005
19.4974,19.6139,376,-8.19563,0.881988,1.73852,-0.0329242
20.671,20.8272,376,-7.65263,0.864104,1.87451,-0.0200152
20.5057,20.6014,376,-7.06697,0.85238,1.96167,-0.0114532
15.3974,15.4892,376,-6.45399,0.845359,2,-0.00630014
20.8155,20.9625,376,-5.829,0.841422,2,-0.00340515
20.472,20.6504,376,-5.204,0.839294,2,0.116345
21.6623,21.8619,376,-4.58323,0.911845,2,0.188021
20.3697,20.4792,376,-3.96924,1.02867,2,0.23177
17.3668,17.4724,376,-3.36095,1.17223,2,0.257436
22.3534,22.5508,376,-2.75655,1.33136,2,0.271416
23.1385,23.3452,376,-2.15443,1.49892,2,0.278814
20.771,20.8862,376,-1.55357,1.67093,2,0.282453
20.6366,20.7439,376,-0.953331,1.84512,2,0.283733
23.885,24.0134,376,-0.353321,2.02008,2,0.283147
21.3142,21.425,376,0.246792,2.1947,2,0.280463
18.1947,18.2984,376,0.847372,2.3677,2,0.274632
21.0219,21.2414,376,1.44895,2.53719,2,0.263373
22.7828,22.9685,376,2.0524,2.6999,1.99666,0.242268
20.2287,20.3409,376,2.65813,2.84959,1.97396,0.204968
17.1154,17.2188,376,3.26208,2.97515,1.94525,0.150263
21.8338,22.0097,376,3.86313,3.06615,1.94117,0.0943644
24.7212,24.8355,376,4.46704,3.12331,1.96591,0.0539156
21.6196,21.726,376,5.0805,3.15641,1.99274,0.123045
34.3439,34.4564,376,5.69852,3.23284,2,0.167562
22.2112,22.3378,376,6.31476,3.33708,2,0.195268
22.5312,23.0262,376,6.92789,3.45835,2,0.210968
19.9081,20.0142,376,7.53903,3.58923,2,0.219417
24.764,24.8704,376,8.14904,3.72527,2,0.223805
21.8383,21.9523,376,8.75846,3.86398,2,0.225813
25.4663,25.5699,376,9.36759,4.00392,2,0.226214
25.1057,25.3524,376,9.97667,4.1441,2,0.225159
23.6321,23.8414,376,10.5859,4.28364,2,0.222236
23.3354,23.5085,376,11.1955,4.42139,2,0.216303
20.9372,21.0433,376,11.806,4.55553,2,0.205036
22.4564,22.576,376,12.4179,4.68278,1.99396,0.184015
23.9258,24.1269,376,13.0305,4.7968,1.97101,0.148348
21.883,21.9837,376,13.6396,4.88784,1.95214,0.0262651
26.2162,26.3752,376,14.2495,4.90386,1.9518,-0.0690517
28.5853,28.737,376,14.858,4.86177,1.97209,-0.135043
21.6326,21.7364,376,15.4686,4.7788,1.99382,-0.176074
20.009,20.1017,376,16.0821,4.66966,2,-0.199065
20.2912,20.388,376,16.6947,4.54607,2,-0.211481
