t_solve, t_update, t_total
5.09247,22.5742,27.6666
4.86549,17.566,22.4315
5.0524,20.0462,25.0986
7.70283,18.0653,25.7681
3.65042,18.7919,22.4423
7.04649,20.6993,27.7457
4.34521,19.1958,23.541
5.20744,25.7456,30.953
5.17712,19.992,25.1691
4.16624,18.0718,22.2381
6.67949,25.5362,32.2157
5.65904,22.3213,27.9804
7.59576,24.5619,32.1577
5.78601,21.7955,27.5815
5.70512,24.5021,30.2072
6.74441,24.9104,31.6548
6.53311,24.5725,31.1056
8.94526,22.7172,31.6625
8.63997,22.0534,30.6934
10.1911,20.668,30.8591
10.7502,19.6859,30.4361
10.3439,20.5111,30.8549
8.62995,20.2907,28.9206
6.04836,21.6755,27.7238
5.47793,21.3663,26.8442
6.02187,23.151,29.1729
7.95772,21.5699,29.5276
10.8054,21.3236,32.1289
10.2234,21.2951,31.5185
10.3952,20.8487,31.244
10.8361,20.1076,30.9437
8.7218,19.8339,28.5557
8.15421,21.7895,29.9437
10.4855,22.8696,33.3551
10.9582,21.516,32.4742
10.3616,21.8534,32.215
10.8255,20.3315,31.157
10.409,22.7716,33.1805
10.4337,21.3644,31.7981
9.22366,21.5652,30.7888
6.92209,19.9089,26.831
7.38806,22.8999,30.2879
11.2554,23.0958,34.3512
11.708,22.6871,34.395
10.5222,22.353,32.8751
10.7377,20.0356,30.7733
8.12186,19.6103,27.7322
8.45132,21.3797,29.831
7.2229,21.4639,28.6868
7.52585,23.3193,30.8452
6.74179,20.8392,27.581
7.105,21.2241,28.3291
9.09592,20.7921,29.8881
10.2617,20.0401,30.3018
8.48619,18.4278,26.914
5.04406,19.2021,24.2462
7.747,23.5419,31.2889
6.69533,27.0912,33.7865
6.72923,23.1949,29.9241
6.35338,25.6177,31.971
10.088,27.2493,37.3373
8.94965,26.6945,35.6442
7.81513,28.9629,36.778
7.7495,26.5774,34.3269
5.2867,21.7643,27.051
6.12096,18.3745,24.4955
8.28971,18.9692,27.2589
4.89627,20.0921,24.9884
5.097,25.2643,30.3613
6.35558,19.5752,25.9308
9.17167,18.7952,27.9669
4.58972,18.2537,22.8434
6.27274,21.5344,27.8071
6.63469,17.8845,24.5192
7.39298,25.4723,32.8653
4.25752,19.3805,23.638
9.04218,20.8728,29.9149
10.0128,19.3952,29.408
7.76739,20.3088,28.0761
5.10194,19.2522,24.3542
4.35419,24.6753,29.0295
6.64415,21.4697,28.1138
8.19636,21.1338,29.3301
7.26398,19.9925,27.2565
5.33253,23.0463,28.3788
5.4815,24.4826,29.9641
7.10537,24.0531,31.1584
8.62614,24.5709,33.197
6.93551,27.5048,34.4403
5.26003,30.2064,35.4664
6.29105,29.6824,35.9735
8.70411,25.8838,34.5879
8.24439,25.4209,33.6653
8.04812,26.0007,34.0488
8.99398,23.5246,32.5186
9.65535,23.8311,33.4864
6.96553,26.8821,33.8476
6.14577,25.2416,31.3874
6.82254,24.7101,31.5327
5.76269,25.2981,31.0608
7.32028,23.803,31.1233
8.2582,20.8529,29.1111
7.57946,18.8084,26.3879
5.20833,20.9621,26.1704
6.88994,19.4496,26.3395
8.27979,20.248,28.5278
5.97666,17.9533,23.9299
4.9664,22.7768,27.7432
6.95754,21.6806,28.6381
5.83838,18.2406,24.079
4.03827,19.6372,23.6755
3.1785,16.3228,19.5013
5.36587,18.7818,24.1477
2.90045,15.8617,18.7621
3.71398,16.6784,20.3923
5.3621,18.3683,23.7304
2.81643,15.7332,18.5497
6.38704,17.4248,23.8119
4.43739,17.1245,21.5619
3.6701,14.5701,18.2402
2.98053,16.4494,19.4299
5.15348,17.1912,22.3447
2.88537,14.3441,17.2294
4.13373,14.2976,18.4314
2.70226,16.3622,19.0645
5.09202,17.3,22.392
5.19672,16.2876,21.4843
2.61453,13.5599,16.1744
2.69777,16.3276,19.0253
4.5529,15.8245,20.3774
6.85624,21.179,28.9751
